name(Zombified Stronghold)


snap(-60,-60,-60)
sky(224,220,126)
fog(204,177,137)
clouds(187,198,255,6,-796)
ground(220,200,200)
texture(69,45,197,20)
fadefrom(8000)
density(3)
mountains(9062)
nlaps(4)
soundtrack(cavehorrors.mod,349,289)
lightson()
set(47,0,0,0)p
set(10,0,5600,180)
set(10,0,11200,180)
set(26,0,7824,0)
set(26,0,9099,180)pr
set(10,0,16800,180)p
set(10,0,22400,180)p
set(14,0,26950,-90)
chk(40,0,24720,0)r
set(10,-4550,26950,-90)p
set(10,-10150,26950,-90)p
set(23,-12950,26950,-90)
set(23,-21356,26950,90)
set(10,-24156,26950,90)p
set(10,-26504,26950,90)p
set(10,-32104,26950,90)p
set(22,-35464,26950,-90)p
set(18,-38824,26950,-90)
set(36,-37004,24440,180)
set(36,-37004,29460,0)
set(36,-38884,29460,0)
set(36,-38964,24440,180)
set(25,-38964,25356,180)
set(25,-37004,27788,180)
set(25,-38884,27788,180)
set(25,-37004,25356,180)
set(18,-44424,26950,-90)
set(36,-44768,24440,180)
set(36,-40848,24440,180)ph
set(36,-44768,29460,0)
set(36,-40844,29460,0)
set(36,-42808,29460,0)
set(36,-42808,24440,180)ph
set(25,-42808,25356,180)
set(25,-44768,27788,180)
set(25,-40844,27788,180)
set(25,-42808,27788,180)
set(25,-44768,25356,180)
set(25,-40848,25356,180)
set(18,-50024,26950,-90)
set(36,-50648,24440,180)
set(36,-46728,24440,180)
set(36,-48688,29460,0)ph
set(36,-46728,29460,0)
set(36,-50648,29460,0)
set(36,-48688,24440,180)
set(25,-46728,25356,180)
set(25,-50648,25356,180)
set(25,-48688,27788,180)
set(25,-46728,27788,180)
set(25,-50648,27788,180)
set(25,-48688,25356,180)
set(22,-53384,26950,90)p
set(10,-56744,26950,90)p
set(14,-61294,26950,90)pt
set(10,-61294,31500,180)
chk(40,-61294,29768,0)r
set(20,-61294,37100,180)p
set(15,-61294,42700,180)p
set(17,-61294,47250,0)pt
set(15,-56744,47250,90)
chk(42,-58104,47250,90)r
set(15,-51144,47250,90)p
set(17,-46594,47250,-90)pt
set(15,-46594,42700,0)
chk(42,-46594,44464,0)r
set(17,-46594,38150,90)pt
set(15,-42044,38150,90)
chk(42,-43788,38150,90)r
set(15,-36444,38150,90)p
set(17,-31894,38150,180)
chk(42,-31894,40312,0)r
set(15,-31894,42700,180)p
set(17,-31894,47250,0)pt
set(16,-27344,47250,90)p
set(15,-21744,47250,90)
chk(42,-20060,47250,90)r
set(17,-17194,47250,-90)pt
set(15,-17194,42700,0)p
set(15,-17194,37100,0)
set(34,-17194,37100,0)pr
set(16,-17194,31500,180)p
set(44,-17194,25900,0)
set(32,-13968,26950,90)
set(32,-20420,27300,-90)
set(32,-13968,27300,90)
set(32,-13968,26600,90)pr
set(32,-20420,26600,-90)
set(32,-20420,26950,-90)pr
set(44,-17194,20300,180)p
set(15,-17194,14700,0)
chk(42,-17134,12644,0)r
set(17,-17194,10150,180)pt
set(15,-21744,10150,90)p
set(20,-27344,10150,90)p
set(10,-32944,10150,90)
set(10,-38544,10150,90)
set(10,-44144,10150,90)p
set(10,-49744,10150,90)p
set(10,-55344,10150,90)
chk(40,-56636,10150,90)r
set(14,-59894,10150,0)pt
set(14,-59894,6650,90)pt
set(10,-55344,6650,90)p
set(44,-43112,6650,90)
set(43,-37512,6650,90)
set(43,-31912,6650,-90)
set(28,-35521,10150,90)pr
set(44,-26312,6650,-90)p
set(24,-23512,6650,-90)p
set(10,-21684,3610,90)
chk(40,-19424,3610,90)r
set(14,-17134,3610,-90)pt
set(10,-17134,-940,0)p
set(10,-17134,-6540,0)p
set(14,-17134,-11090,180)
chk(40,-17134,-8904,0)r
set(10,-21684,-11090,-90)p
set(10,-49804,-11090,90)p
set(10,-55404,-11090,-90)p
set(14,-59954,-11090,0)
chk(40,-57800,-11090,90)r
set(10,-59954,-15640,0)p
set(14,-59954,-20190,90)pt
set(10,-55404,-20190,90)p
set(20,-49804,-20190,90)p
set(15,-44204,-20190,90)
chk(42,-43128,-20190,90)r
set(17,-39654,-20190,-90)pt
set(44,-39654,-24740,0)p
set(44,-39654,-28000,180)p
set(17,-39654,-32550,90)
chk(42,-39654,-30800,0)r
set(15,-35104,-32550,-90)p
set(15,-33950,-32550,-90)p
set(17,-29400,-32550,180)
chk(42,-31150,-32550,90)r
set(15,-29400,-28000,0)p
set(17,-29400,-23450,0)pt
set(15,-24850,-23450,-90)
chk(42,-26860,-23450,90)r
set(15,-19250,-23450,-90)p
set(17,-14700,-23450,-90)pt
set(15,-14700,-28000,180)
chk(42,-14700,-25960,0)r
set(17,-14700,-32550,90)pt
set(15,-10150,-32550,-90)p
set(15,-4550,-32550,-90)
chk(42,-2320,-32550,90)r
set(17,0,-32550,180)pt
set(15,0,-28000,0)
set(33,0,-26376,180)pr
set(16,0,-22400,0)p
set(20,0,-16800,0)p
set(10,0,-11200,180)
set(10,0,-5600,180)
set(26,0,-7800,0)pr
set(26,0,-6499,180)pr
set(10,-27284,3610,90)
set(10,-32884,3610,90)
set(10,-38484,3610,90)
set(10,-44084,3610,90)
set(28,-41001,3610,90)pr
set(12,-49714,5130,60)
set(24,-45912,6650,90)
set(23,-48195,-7590,-90)
set(20,-45395,-7590,90)
set(15,-39795,-7590,90)
set(21,-34195,-7590,-90)
set(18,-28595,-7590,-90)
set(22,-25235,-7590,-90)
set(23,-24675,-7590,90)
set(13,-27314,-12610,-60)
set(10,-32944,-14130,-90)
set(10,-38544,-14130,-90)
set(29,-35538,-14130,90)
set(12,-44174,-12610,-120)po

maxl(18,-66647,-33450)
maxb(15,-35850,-64247)
maxr(18,5353,-33450)
maxt(15,50550,-64247)
