name(Future Shock)

snap(-50,-50,-20)
sky(235,14,217)
fog(250,24,223)
clouds(255,255,255,5,-1000)
ground(30,30,30)
texture(0,0,0,50)
fadefrom(8000)
density(5)
mountains(10999)
nlaps(4)
soundtrack(future_shock_2.mod,202,203)
lightson()

set(47,0,0,0)p
set(10,0,4850,0)p
set(10,0,10450,180)
set(10,0,16050,180)
set(23,0,17433,180)
set(29,0,13640,0)pr
set(22,0,25010,180)
set(13,1520,21620,210)
set(23,3040,18790,0)
set(37,3040,17968,0)
set(18,0,28370,180)
set(36,1810,28510,-90)
set(36,1810,26550,-90)
set(21,0,33970,180)p
set(36,1810,30470,-90)
set(15,0,39570,0)
chk(42,0,40850,0)r
set(17,0,44120,-90)pt
set(15,-4550,44120,-90)
set(15,-10150,44120,-90)
chk(42,-11800,44120,90)r
set(17,-14700,44120,0)pt
set(15,-14700,39570,0)p
set(15,-14700,33970,0)
set(15,-14700,28370,0)
set(33,-14700,28520,0)
set(16,-14700,22770,0)
set(24,-14700,19970,180)
set(24,-15855,14115,0)
set(16,-15855,11315,0)
set(24,-15855,8515,180)
set(16,-19014,13004,0)
set(24,-19014,15804,0)p
set(15,-22002,14890,180)p
set(15,-22002,9290,180)p
chk(42,-22002,7850,0)r
set(17,-22002,4740,90)pt
set(15,-17452,4740,-90)p
set(15,-11852,4740,-90)p
set(17,-7302,4740,180)pt
set(15,-7302,9290,180)

set(16,-7302,14890,0)p
set(44,-7302,20490,180)p
set(43,-7302,26090,0)p
set(44,-7302,31690,0)p
set(15,-7302,37290,0)
set(24,-7302,40090,0)
set(34,-7302,38844,180)pr
set(24,-7302,48172,180)
set(15,-7302,50972,180)
set(34,-7302,49076,180)pr
set(15,-7302,56572,180)p
set(21,-7302,62172,0)p
set(22,-7302,65532,0)p
set(10,-7302,68892,0)p
set(10,-7302,74492,0)
chk(40,-7302,76250,0)r
set(14,-7302,79042,-90)pt
set(10,-11852,79042,-90)p
set(10,-17452,79042,-90)
set(23,-20252,79042,-90)
set(29,-19666,79042,90)pr
set(23,-33528,79042,90)p
set(10,-36328,79042,90)p
set(10,-41928,79042,90)
chk(40,-43750,79042,90)r
set(14,-46478,79042,0)pt
set(10,-46478,74492,0)p
set(10,-46478,68892,0)p
set(10,-46478,63292,0)
set(23,-46478,60492,0)
set(31,-46478,61161,180)pr
set(23,-46478,48785,180)
set(10,-46478,45985,180)
set(31,-46478,48259,0)pr
set(10,-46478,40385,180)p
set(10,-46478,34785,180)
chk(40,-46478,34000,0)r
set(14,-46478,30235,90)pt
set(10,-41928,30235,90)p
set(10,-36328,30235,90)p
set(14,-31778,30235,180)
chk(40,-33528,30235,90)r
set(10,-31778,34785,180)p
set(10,-31778,40385,180)p
set(10,-31778,45985,180)p
set(10,-31778,51585,180)
set(23,-31778,54385,180)
set(26,-31778,54985,0)pr
fix(41,-31778,58445,-2000,0)
set(23,-31778,67175,0)p
set(10,-31778,69975,0)p
set(14,-31778,74525,0)
chk(40,-30300,74525,90)r
set(10,-27228,74525,90)p
set(12,-21598,73005,60)p
set(10,-15968,71485,-90)
set(23,-13168,71485,90)
set(28,-14465,71485,90)pr
set(23,-880,71485,-90)p
set(10,1920,71485,-90)p
set(10,7520,71485,-90)
chk(40,5550,71485,90)r
set(10,13120,71485,-90)
set(23,15920,71485,90)
set(31,15463,71485,-90)pr
set(23,33337,71485,-90)p
set(10,36137,71485,-90)p
set(10,41737,71485,-90)
chk(40,43500,71485,90)r
set(14,46287,71485,-90)pt
set(10,46287,66935,0)p
set(10,46287,61335,0)p
set(10,46287,55735,0)
set(23,46287,52935,0)
set(31,46287,53564,180)pr
set(23,46287,38008,180)p
set(10,46287,35208,180)p
set(10,46287,29608,180)
chk(40,46287,27450,0)r
set(14,46287,25058,180)pt
set(10,41737,25058,-90)p
set(10,36137,25058,-90)p
set(14,31587,25058,90)pt
set(10,31587,29608,180)
chk(40,31587,29600,0)r
set(10,31587,35208,180)p
set(10,31587,40808,180)p
set(23,31587,43608,180)
set(32,31237,44666,0)
set(32,31937,44666,0)
set(32,31587,44666,0)pr
set(10,31587,52552,0)
set(10,31587,58152,0)
chk(40,31587,59450,0)r
set(14,31587,62702,-90)pt
set(10,27037,62702,90)p
set(10,21437,62702,90)p
set(14,16887,62702,0)
chk(40,19050,62702,90)r
set(10,16887,58152,0)p
set(10,16887,52552,0)p
set(22,16716,31730,0)
set(18,16716,28370,180)
set(36,14906,28510,90)
set(22,16716,25010,180)p
set(12,15196,21620,150)p
set(36,14906,26550,90)
set(10,13676,15990,180)
chk(40,13676,18790,0)r
set(23,13676,13190,0)
set(29,13676,14240,0)pr
set(10,14700,0,180)p
set(10,14700,-5600,180)
chk(40,14700,-6650,0)r
set(14,14700,-10150,180)pt
set(10,10150,-10150,90)p
set(10,4550,-10150,90)
chk(40,2650,-10150,90)r
set(14,0,-10150,90)pt
set(10,0,-5600,0)p
set(13,18407,46922,210)
set(10,19927,41292,180)
set(23,19927,38492,0)
set(30,19927,39508,180)
set(23,16716,32290,180)
set(36,14906,30470,90)
set(23,31587,51056,0)
set(32,31587,50140,180)
set(32,31937,50140,180)
set(32,31237,50140,180)pr
set(24,-22002,17690,0)
set(24,-19014,10204,180)
set(23,14700,2800,180)
set(10,-31778,61284,90)
set(32,-31745,60960,0)
set(23,-28978,61284,90)
set(32,-30630,60960,0)
set(32,-28360,60960,0)
set(32,-29530,60960,0)
set(23,-34578,61284,-90)
set(32,-35130,60960,0)
set(32,-32930,60960,0)
set(32,-34065,60960,0)
set(10,-46478,54760,90)
set(26,-46478,54760,180)
set(23,-43678,54760,90)
set(26,-43678,54760,180)
set(23,-49278,54760,-90)
set(26,-49278,54760,180)
set(10,23702,71485,180)
set(26,23702,71485,-90)
set(23,23702,74285,180)
set(26,23702,74285,-90)
set(23,23702,68685,0)
set(26,23702,68685,-90)
set(10,46287,46860,-90)
set(26,46287,46812,180)
set(23,43487,46860,-90)
set(26,43487,46860,180)
set(23,49087,46860,90)
set(26,49087,46860,180)po

maxl(20,-52895,-11154)
maxb(22,-13554,-50495)
maxr(20,52704,-11154)
maxt(22,82446,-50495)
