



snap(-52,-52,-55)
sky(217,217,217)
fog(242,242,242)
clouds(255,213,213,10,-500)
ground(230,230,230)
texture(64,75,121,20)
fadefrom(8000)
density(8)
mountains(30394)
nlaps(5)
soundtrack(spacecum.mod,299,256)
lightson()



name(On The Brink of Extinction)

set(47,0,0,0)p
set(10,0,5600,180)p
set(10,0,11200,180)
set(13,-1520,16830,210)
set(10,-3040,22460,180)
set(10,-3040,28060,180)
set(12,-1520,33690,150)p
set(10,0,39320,180)
chk(40,0,41294,0)
set(13,1520,33690,210)p
set(10,3040,28060,180)
set(10,3040,22460,180)
set(12,1520,16830,150)
set(28,0,11836,0)pr
fix(41,0,23640,-1000,0)
set(23,0,22460,0)
set(10,0,25260,0)
set(23,0,28060,180)
set(30,1624,25980,540)
set(30,0,25980,180)
set(30,-1482,25980,540)pl
set(14,0,43870,0)pt
set(10,4550,43870,90)p
set(10,10150,43870,90)
set(23,12950,43870,90)
set(29,11718,43870,-90)pr
set(22,26516,43870,90)p
set(18,29876,43870,90)
set(36,29466,45680,0)ph
set(18,35476,43870,90)
set(36,31426,45680,0)
set(36,33386,45680,0)
set(36,35346,45680,0)ph
set(22,38836,43870,-90)
set(13,42226,45390,120)
set(36,37310,45680,0)ph
set(10,47856,46910,90)
chk(40,49428,46910,90)
set(14,52406,46910,180)pt
set(10,52406,51460,180)p
set(10,52406,57060,180)p
set(14,52406,61610,-90)
chk(40,52406,59860,0)
set(10,47856,61610,-90)
set(23,45056,61610,-90)
set(10,29546,61610,-90)
set(10,23946,61610,90)p
set(14,19396,61610,0)
chk(40,21146,61610,90)
set(10,19396,57060,180)p
set(10,19396,54537,180)p
set(22,19396,51177,0)p
set(18,19396,47817,180)
set(36,17586,48770,90)ph
set(18,19396,44457,180)
set(36,17586,46810,90)
set(36,17586,44850,90)ph
set(22,19396,41097,180)p
set(36,17586,42890,90)
set(10,19396,37737,180)p
set(10,19396,32137,0)p
set(14,19396,27587,90)
chk(40,19396,29337,0)
set(10,23946,27587,90)p
set(13,29576,29107,120)
set(10,35206,30627,90)
set(23,36330,30627,90)
set(28,34930,30627,-90)pr
set(15,34350,37430,90)p
set(16,28750,37430,90)p
set(24,25950,37430,90)p
set(23,25956,43870,-90)p
set(22,26526,49860,90)p
set(18,29886,49860,90)
set(36,29466,48050,180)ph
set(18,35486,49860,90)
set(36,35346,48050,180)
set(36,33386,48050,180)
set(36,31426,48050,180)ph
set(22,38846,49860,-90)
set(23,39406,49860,90)
set(36,37306,48050,180)ph
set(15,43346,57834,90)
set(26,44456,61610,90)pr
set(17,47896,57834,-90)pt
set(15,47896,53284,0)p
set(24,47896,50484,180)p
set(16,37746,57834,90)p
set(15,32146,57834,90)
set(24,29346,57834,90)
set(23,31015,61610,90)
set(30,30400,61610,-90)pl
set(23,37840,61610,180)p
set(23,37840,61610,0)p
set(37,37840,62814,90)
set(37,37840,60510,90)
set(37,37840,61610,0)
set(23,25966,49860,-90)p
set(24,37150,37430,-90)p
set(10,47856,34127,-90)p
set(14,52406,34127,-90)
chk(40,52406,32377,0)
set(10,52406,29577,0)p
set(10,52406,23977,0)p
set(14,52406,19427,180)pt
set(10,47856,19427,-90)
chk(40,45056,19427,90)
set(12,42226,20947,-120)p
set(22,38836,22467,-90)p
set(18,35476,22467,90)
set(18,32116,22467,90)
set(36,34216,24277,0)
set(36,32256,24277,0)
set(36,36176,24277,0)ph
set(22,28756,22467,90)p
set(36,30296,24277,0)
set(10,25396,22467,90)p
set(13,19766,20947,-60)p
set(14,15186,19427,0)
chk(40,16650,19427,90)
set(10,15186,14877,0)p
set(10,15186,9277,0)p
set(14,15186,4727,90)
chk(40,16936,4727,90)
set(10,19736,4727,90)
set(23,22536,4727,90)
set(26,23136,4727,-90)pr
set(37,25000,4727,90)
set(10,36656,1990,-90)
set(10,42256,1990,-90)p
set(10,47856,1990,-90)p
set(14,52406,1990,-90)pt
set(10,52406,-2560,0)
chk(40,52406,-2290,0)
set(14,52406,-7110,180)pt
set(10,47856,-7110,-90)
set(10,47598,-7110,-90)
set(23,44798,-7110,-90)
set(29,45988,-7110,-90)pr
set(10,32610,-7110,90)
set(10,27010,-7110,90)
set(13,21380,-8630,120)
set(10,15750,-10150,90)
set(23,14620,-10150,-90)
set(30,15044,-10150,90)pl
set(10,4550,-10150,90)
set(14,0,-10150,90)pt
set(10,0,-5600,180)
chk(40,0,-7778,0)
set(23,34843,1990,-90)
set(26,34243,1990,90)pr
set(23,45510,34127,-90)
set(23,33814,-7110,90)
set(30,33119,-7110,-90)pl
set(23,7350,-10150,90)
set(30,6872,-10150,-90)pl
set(37,32000,1990,90)
set(37,26000,3996,90)
set(37,27000,3320,90)
set(37,28000,2670,90)
set(37,29000,1990,90)
set(37,30000,1990,90)
set(37,31000,1990,90)

maxl(17,-6517,-12670)
maxb(13,-15070,-4117)
maxr(17,55883,-12670)
maxt(13,66530,-4117)
