
name(When The Dust Settles)

snap(-38,-40,-52)
sky(222,186,166)
fog(204,175,153)
clouds(255,255,255,5,-1000)
ground(196,173,155)
texture(0,0,0,50)
fadefrom(4000)
density(5)
mountains(33495)
nlaps(5)
soundtrack(sandy canyon.mod,229,106)
lightson()











set(50,0,0,0)
set(18,0,5600,0)p
set(18,0,11200,0)
set(53,0,13000,180)
set(54,0,13414,0)pr
set(15,0,22400,180)p
set(16,0,28000,0)p
set(15,0,33600,0)
set(15,0,39200,180)
set(17,0,43750,-90)
chk(42,-1750,43750,90)r
set(17,-3500,43750,0)pt
set(16,-3500,39200,0)p
set(15,-3500,33600,0)
set(33,-3500,34469,180)pr
set(15,-3500,28000,0)p
set(17,-3500,23450,180)
chk(42,-3500,25665,0)r
set(44,-8050,23450,-90)
set(43,-13650,23450,90)
set(49,-9868,23450,90)pr
set(44,-19250,23450,90)p
set(17,-23800,23450,90)
chk(42,-21650,23450,90)r


set(15,-23800,28000,180)
set(33,-23800,28000,180)pr
set(33,-23800,32000,180)pr
set(15,-23800,33600,180)
set(33,-23800,36000,180)
set(15,-23800,39200,180)
set(33,-23800,40000,180)pr

set(17,-23800,43750,-90)

chk(42,-25550,43750,90)r
set(17,-27300,43750,0)pt
set(15,-27300,39200,0)

set(16,-27300,33600,0)p
set(15,-27300,28000,0)p

set(15,-27300,22400,0)p
chk(42,-27300,23400,0)r
set(15,-27300,18700,180)
set(24,-27300,15900,180)
set(15,-27300,6725,0)
set(15,-27300,3228,0)
set(15,-27300,-2372,0)p
set(15,-27300,-7972,0)
chk(42,-27300,-9423,0)r
set(17,-27300,-12522,90)
set(17,-23800,-12522,180)
set(15,-23800,-7972,180)
set(35,-24242,-7114,180)pr
set(16,-23800,-2372,180)p
set(15,-23800,3228,180)
set(35,-23450,2364,180)pr
set(15,-23800,8184,0)
set(17,-23800,12734,-90)pt
set(16,-28350,12734,90)
set(34,-27300,16840,180)pr
chk(42,-28075,12734,90)r
set(17,-32900,12734,90)pt
set(15,-32900,17284,180)p
set(15,-32900,22884,180)p
set(15,-32900,28484,180)p
set(15,-32900,34084,180)p
set(15,-32900,39200,0)p
set(17,-32900,43750,-90)pt
set(15,-37450,43750,90)
chk(42,-37065,43750,90)r
set(17,-42000,43750,0)pt
set(15,-42000,39200,0)p
set(15,-42000,33600,0)
set(15,-42000,28000,0)
set(34,-42004,29615,0)pr
set(15,-42000,22400,0)p
set(15,-42000,16800,0)p
set(16,-42000,11200,0)p
set(15,-42000,5600,0)p
set(15,-42000,0,0)p
set(15,-42000,-5600,0)p
set(15,-42004,-7926,180)
chk(42,-42000,-9612,0)r
set(17,-42004,-12476,90)pt
set(15,-37454,-12476,-90)p
set(15,-37124,-12522,90)p
set(15,-34308,-12522,-90)p
set(24,-31508,-12522,-90)
set(34,-33074,-12522,-90)pr
fix(41,-29122,-12476,-1850,90)s
set(24,-19460,-12522,90)
set(15,-16660,-12522,90)
set(15,-15970,-12522,-90)
set(33,-18770,-12522,90)
set(17,-11420,-12522,180)
chk(42,-11420,-10228,0)r
set(44,-11420,-7972,180)
set(43,-11420,-2372,180)
set(35,-11136,-2308,180)
set(35,-11976,-4016,180)
set(44,-11420,3228,0)p
set(15,-11420,8828,180)p
set(17,-11420,13378,0)
chk(42,-9670,13378,90)r
set(17,-7920,13378,-90)
set(15,-7920,8828,180)
set(24,-7920,6028,180)
set(33,-7920,6028,180)pr
set(24,-7000,700,0)
set(17,-7000,-1050,90)
set(33,-7000,700,180)
set(17,-3500,-1050,-90)
set(15,-3500,-5600,0)
set(17,-3500,-10150,90)pt
set(17,0,-10150,180)pt
chk(42,0,-8400,0)r
set(21,0,-5600,0)p

set(24,-27300,9525,0)
set(34,-27300,8622,180)
set(24,0,19600,180)

maxl(14,-47192,-15795)
maxb(11,-18195,-44792)
maxr(14,5607,-15795)
maxt(11,49004,-44792)
