
name(Starlight Adventures)

snap(-40,-40,-40)
sky(85,58,0)
fog(204,147,0)
clouds(224,224,224,1,-1000)
ground(0,0,45)
texture(20,0,255,20)
fadefrom(8000)
density(3)
mountains(21363)
nlaps(1)
soundtrack(starlightcum.mod,181,172)
lightson()

set(47,0,0,0)p
set(10,0,5600,0)p
set(10,0,11200,0)
set(10,0,16800,0)
set(23,0,19600,180)
set(31,0,17309,0)pr
set(23,0,34900,0)p
set(10,0,37700,0)p
set(10,0,43300,0)p
set(10,0,48900,0)
chk(40,0,48520,0)r
set(14,0,53450,0)pt
set(10,4550,53450,90)p
set(10,10150,53450,90)
set(10,15750,53450,90)
set(30,11860,53450,-90)pl
set(10,21350,53450,90)p
set(10,26950,53450,90)p
set(14,31500,53450,180)pt
set(10,31500,58000,180)
chk(40,31500,59000,0)r
set(14,31500,62550,-90)pt
set(10,26950,62550,-90)p
set(10,21350,62550,-90)
set(23,19852,62550,-90)
set(26,19252,62550,90)pr
set(23,5446,62550,90)p
set(10,2646,62550,90)
set(32,2948,62900,90)pr
set(12,-2984,64070,60)p
set(10,-8614,65590,90)p
set(20,-14214,65590,-90)p
set(15,-19814,65590,-90)p
set(15,-25414,65590,-90)p
set(15,-31014,65590,-90)p
set(15,-36614,65590,-90)
chk(42,-34895,65590,90)r
set(17,-41164,65590,90)pt
set(15,-41164,70140,180)
set(15,-41164,75740,180)
set(49,-41164,74304,0)pr
set(15,-41164,81340,180)p
set(15,-41164,86940,180)
set(15,-41164,92540,180)
chk(42,-41164,95340,0)r
set(15,-41164,98140,180)p
set(17,-41164,102690,0)pt
set(15,-36614,102690,90)p
set(15,-31014,102690,90)p
set(15,-25414,102690,90)
set(24,-22614,102690,-90)
set(34,-23632,102690,90)pr
set(24,-7166,102690,90)p
set(16,-4366,102690,90)p
set(20,1234,102690,-90)p
set(10,6834,102690,-90)
fix(41,14655,102690,-750,90)
set(10,12434,102690,-90)
set(10,18034,102690,-90)
set(30,12512,102690,-90)pl
set(10,23634,102690,-90)p
set(10,29234,102690,-90)p
set(14,33784,102690,-90)pt
set(10,33784,98140,0)p
set(10,33784,92540,0)
chk(40,33784,91484,0)r
set(14,33784,87990,180)pt
set(10,29234,87990,-90)p
set(10,23634,87990,-90)p
set(10,18034,87990,90)
set(23,15234,87990,-90)
set(31,15852,87990,90)pr
set(23,-11056,87990,90)p
set(10,-13856,87990,90)p
set(10,-19456,87990,90)p
set(10,-25056,87990,90)p
set(10,-30656,87990,90)
set(10,-36256,87990,-90)
set(23,-37395,87990,-90)
set(31,-36420,87990,90)pr
set(23,-44952,87990,90)
set(10,-47752,87990,90)
set(31,-45930,87990,-90)pr
set(10,-53352,87990,90)p
set(10,-58952,87990,90)p
set(10,-64552,87990,90)
chk(40,-66415,87990,90)r
set(14,-69102,87990,90)pt
set(10,-69102,92540,180)p
set(10,-69102,98140,180)p
set(10,-69102,103740,180)
set(23,-69102,106540,180)
set(29,-69102,105220,180)
set(29,-69102,105220,0)pr
set(24,-69102,122512,180)p
set(15,-69102,125312,180)p
set(15,-69102,130912,180)
set(15,-69102,136512,180)

set(16,-69102,142112,180)
set(17,-69102,146662,0)
chk(42,-67352,146662,90)r
set(17,-65602,146662,-90)pt
set(15,-65602,142112,0)
set(33,-65602,142000,180)
set(15,-65602,136512,0)

set(15,-65602,130912,0)

set(17,-65602,126362,90)pt
set(44,-61052,126362,90)
chk(42,-62300,126362,90)r
set(43,-55452,126362,90)p
set(43,-49852,126362,90)p
set(43,-44252,126362,90)p
set(44,-38652,126362,-90)
set(24,-35852,126362,-90)
set(34,-37122,126362,90)pr
set(24,-17214,126362,90)p
set(15,-14414,126362,90)p
set(16,-8814,126362,90)p
set(15,-3214,126362,90)p
set(15,2386,126362,90)p
set(17,6936,126362,180)
chk(42,6565,126980,145)r
set(17,6936,129862,0)pt
set(15,11486,129862,90)p
set(15,17086,129862,90)p
set(15,22686,129862,90)p
set(17,27236,129862,-90)pt
set(15,27236,125312,180)
chk(42,27236,122125,0)r
set(15,27236,119712,180)p
set(17,27236,115162,180)pt
set(15,22686,115162,-90)p
set(15,17086,115162,-90)
set(35,16330,114702,90)pr
set(15,11486,115162,-90)
set(35,14753,115543,90)pr
set(20,5886,115162,90)p
set(13,256,113642,120)p
set(10,-5374,112122,90)p
set(10,-10974,112122,-90)
chk(40,-12410,112122,90)r
set(14,-14949,112130,0)pt
set(10,-14949,107580,0)p
set(10,-14949,101980,0)p
set(10,-14949,96380,0)
set(23,-14949,93580,0)
set(30,-14949,94850,180)pr
set(23,-14949,83001,180)p
set(10,-14949,80201,180)p
set(10,-14949,74601,180)p

set(31,-14949,72892,180)pr
set(23,-14949,71801,0)
set(23,-14949,59280,180)
set(10,-14949,56480,180)

set(10,-14949,50880,180)p
set(20,-14949,45280,0)p
set(15,-14949,39680,0)p
set(24,-14949,34900,180)p
set(15,-15150,16800,180)
set(33,-15150,17000,0)pr
set(15,-15150,11200,180)p
set(33,-15150,14000,0)
set(33,-15150,11000,0)pr
set(16,-15150,5600,0)p
set(20,-15150,0,180)p
set(14,-15150,-4550,90)p
chk(42,-15150,-2800,0)r
set(10,-10600,-4550,-90)p
set(10,-5000,-4550,90)p
set(10,-4550,-4550,-90)p
set(14,0,-4550,180)pt
set(24,-15150,19600,0)
set(15,-14949,37700,0)
set(34,-14949,35977,0)


