
name(Rebirth of the Phoenix)

snap(12,-36,-60)
sky(255,214,191)
fog(255,163,120)
clouds(255,255,255,5,-1406)
ground(186,191,153)
texture(0,0,0,60)
fadefrom(7100)
density(3)
mountains(27771)
nlaps(2)
soundtrack(tottaly_wikkid,332,109)
lightson()
stats()
set(47,0,0,0)p
set(10,0,4850,0)p
set(10,0,10450,180)
set(10,0,16050,180)
set(23,0,17495,180)
set(31,0,16427,0)pr
set(10,0,32850,180)p
set(10,0,38450,180)p
set(14,0,43000,-90)pt
set(10,-4550,43000,-90)
chk(40,-7350,43000,90)r
set(10,-10150,43000,-90)p
set(14,-14700,43000,0)pt
set(10,-14700,38450,180)p
set(10,-14700,32850,180)p
set(10,-14700,27250,0)
set(23,-14700,24450,0)
set(26,-14700,23850,180)pr
set(10,-14700,15675,180)
set(10,-14700,10075,180)p
set(10,-14700,4475,180)p
set(10,-14700,-1125,180)
chk(40,-14700,-1707,0)r
set(14,-14700,-5675,180)pt
set(10,-19250,-5675,-90)
set(10,-24850,-5675,-90)
set(10,-30450,-5675,-90)p
set(20,-36050,-5675,-90)p
set(44,-41650,-5675,-90)
set(43,-47250,-5675,-90)p
set(43,-52850,-5675,-90)
set(44,-58450,-5675,90)
chk(42,-58858,-5675,90)r
set(17,-63000,-5675,90)pt
set(17,-63000,-2175,0)pt
set(15,-58450,-2175,90)p
set(44,-52850,-2175,90)
set(43,-47250,-2175,90)p
set(43,-41650,-2175,90)
set(33,-42260,-5675,90)pr
set(44,-36050,-2175,-90)
set(33,-38320,-2175,90)pr
set(15,-30450,-2175,90)
chk(42,-28873,-2175,90)r
set(17,-25900,-2175,180)
set(28,-23354,-5675,90)pr
set(17,-25900,1325,-90)pt
set(44,-30450,1325,-90)p
set(43,-36050,1325,-90)
set(43,-41650,1325,-90)
set(43,-47250,1325,-90)
set(43,-52850,1325,-90)
set(33,-49680,1325,90)pr
set(33,-53380,-2175,90)pr
set(44,-58450,1325,90)
set(15,-64050,1325,-90)
chk(42,-64529,1325,90)r
set(17,-68600,1325,90)pt
set(17,-68600,4825,0)pt
set(44,-64050,4825,90)p
set(44,-58450,4825,-90)
set(16,-52850,4825,90)p
set(44,-47250,4825,90)
set(43,-41650,4825,90)
set(44,-36050,4825,-90)
set(33,-34600,1325,90)pr
chk(42,-35179,4825,90)r
set(17,-31500,4825,180)pt
set(17,-31500,8325,-90)pt
set(15,-36050,8325,90)p
set(16,-41650,8325,90)
set(33,-40860,4825,90)pr
set(15,-47250,8325,90)
set(33,-48000,8325,90)pr
set(15,-52850,8325,90)p
set(15,-58450,8325,90)
set(33,-59600,4825,90)pr
set(16,-64050,8325,90)p
set(15,-69650,8325,90)
chk(42,-68893,8325,90)r
set(17,-74200,8325,90)pt
set(20,-74200,12875,0)p
set(10,-74200,18475,0)p
set(10,-74200,24075,0)
chk(40,-74200,26148,0)r
set(14,-74200,28625,0)pt
set(14,-70700,28625,-90)
set(10,-70700,24075,0)
set(14,-70700,19525,90)
chk(40,-70700,21573,0)r
set(14,-67200,19525,180)pt
set(10,-67200,24075,180)
set(10,-67200,29675,180)
set(28,-67200,26920,180)pr
set(10,-67200,35275,180)p
set(10,-67200,40875,180)
chk(40,-67200,39269,0)r
set(14,-67200,45425,-90)pt
set(10,-71750,45425,-90)p
set(10,-77350,45425,-90)
chk(40,-79404,45425,90)r
set(14,-81900,45425,90)pt
set(10,-81900,49975,180)p
set(10,-81900,55575,180)
set(10,-81900,61175,180)
set(29,-81900,58595,0)pr
set(10,-81900,66775,180)p
set(10,-81900,72375,180)
chk(40,-81900,73198,0)r
set(14,-81900,76925,-90)pt
set(10,-86450,76925,-90)p
set(10,-92050,76925,-90)
chk(40,-92780,76925,90)r
set(14,-96600,76925,0)pt
set(10,-96600,72375,0)p
