snap(48,-12,-48)
sky(217,197,162)
fog(136,62,62)
clouds(255,255,255,5,-1000)
ground(55,25,25)
texture(0,0,0,50)
fadefrom(8000)
density(5)
mountains(11027)
nlaps(3)
soundtrack(underworld-8,189,260)

name(Rush of The Solstice)


set(47,0,0,0)
set(10,0,5600,0)


set(60,0,6736,0)pr


set(10,0,11200,0)
set(10,0,16800,0)p
set(14,0,21350,0)
chk(40,0,19314,0)r
set(10,4550,21350,90)
chk(40,6620,21350,90)r
set(12,10180,19830,60)
chk(40,12802,18310,90)r
set(13,15840,19830,120)p
chk(40,18929,21350,90)r
set(14,20420,21350,180)

set(14,20420,24850,-90)pt
set(12,15840,26370,-120)
chk(40,13010,27890,90)r
set(13,10180,26370,-60)p
chk(40,6525,24740,90)r
set(10,4550,24850,-90)

set(32,2978,24500,90)
set(32,2978,25200,90)

set(23,1350,26925,90)
set(28,440,26925,-90)
fix(41,-1724,26925,-700,90)
set(23,-610,26925,-90)

set(10,-1050,24850,90)
set(10,-6650,24850,90)p
set(12,-12280,26370,60)
chk(40,-15110,27890,90)r
set(13,-17940,26370,-60)
chk(40,-20770,24850,90)r
set(12,-23600,26370,-120)p
chk(40,-26800,27890,90)r
set(14,-28180,27890,90)

set(14,-28180,31390,0)pt
set(13,-23600,32910,120)
chk(40,-20770,34430,90)r
set(12,-17940,32910,60)p
chk(40,-15110,31390,90)r
set(10,-12310,31390,90)
set(10,-6710,31390,-90)p
set(10,-1110,31390,-90)
chk(40,1020,31390,90)r
set(14,3440,31390,180)pt
set(10,3440,35940,180)
set(31,3440,42049,0)pr
set(23,3440,43729,180)

set(23,3440,61140,0)
set(10,3440,63940,0)
chk(40,3440,65800,0)r
set(14,3440,68490,0)pt
set(10,7990,68490,-90)p
set(10,13590,68490,-90)
set(28,14580,68490,-90)pr
set(10,19190,68490,-90)
set(10,24790,68490,-90)p
set(10,30390,68490,-90)
chk(40,31750,68490,90)r
set(14,34940,68490,-90)pt
set(20,34940,63940,0)p
set(15,34940,58340,0)
chk(42,34940,56800,0)r
set(17,34940,53790,180)pt
set(15,30390,53790,-90)
chk(42,29040,53790,90)r
set(17,25840,53790,0)pt
set(15,25840,49240,0)
chk(42,25840,47590,0)r
set(17,25840,44690,90)
set(15,30390,44690,90)
chk(42,31610,44690,90)r
set(17,34940,44690,-90)pt
set(15,34940,40140,0)p
chk(42,34940,38470,0)r
set(17,34940,35590,180)
set(15,30390,35590,-90)p
chk(42,29120,35590,90)r
set(17,25840,35590,0)
set(15,25840,31040,0)p
chk(42,25840,29380,0)r
set(17,25840,26490,90)
set(15,30390,26490,90)p
chk(42,30930,26490,90)r
set(17,34940,26490,-90)
set(15,34940,21940,0)p
chk(42,34940,18330,0)r
set(15,34940,16340,0)
set(34,34940,14930,0)pr
set(24,34940,13540,180)

set(24,34940,-3260,0)
set(15,34940,-6060,0)p
set(15,34940,-11660,0)
set(33,34940,-13570,0)
set(15,34940,-17260,0)
set(15,34940,-22860,0)p
set(15,34940,-28460,0)
chk(42,34940,-29630,0)r
set(17,34940,-33010,180)pt
set(44,30390,-33010,-90)p
set(43,24790,-33010,-90)
set(43,19190,-33010,-90)
set(43,13590,-33010,-90)p
set(44,7990,-33010,90)
chk(42,6920,-33010,90)r
set(17,3440,-33010,90)pt
set(15,3440,-28460,0)
chk(42,3440,-27000,0)r
set(17,3440,-23910,0)pt
set(44,7990,-23910,90)p
set(33,10790,-23910,90)pr
set(43,13590,-23910,90)
set(43,19190,-23910,90)
chk(42,24520,-23910,90)r
set(44,24790,-23910,-90)p
set(17,29340,-23910,180)pt
set(15,29340,-19360,180)
chk(42,29340,-17580,0)r
set(17,29340,-14810,-90)pt
set(44,24790,-14810,-90)p
set(43,19190,-14810,-90)p
set(44,13590,-14810,90)p
set(20,7990,-14810,90)p
set(10,4550,-14810,-90)
chk(40,3450,-14810,90)r
set(14,0,-14810,90)pt
set(10,0,-10260,180)p
set(10,0,-5600,180)
set(30,0,-4465,0)pr

maxl(23,-32069,-35196)
maxb(15,-37596,-29669)
maxr(23,39930,-35196)
maxt(15,72804,-29669)
